1000,1,247,720
1000,4,157,441
1000,16,27,90
1000,64,9,55
3000,1,349,720
3000,4,336,720
3000,16,205,591
3000,64,63,158
6000,1,358,720
6000,4,356,720
6000,16,328,720
6000,64,229,720
